Date,Category,Title,Description,URL
July 1986,Quality of Care,"Investigation of the Care and Treatment Provided to Juan Gonzalez by Presbyterian Medical Center Emergency Room July 3-5, 1986","A report of the Commission's investigation into the care and treatment provided by Presbyterian Hospital to Juan Gonzalez between July 3-5, 1986. Mr. Gonzalez was arrested on July 7, 1986 after he allegedly killed two people and wounded several others with a sword, aboard the Staten Island ferry.",
May 1984 ,Death Investigations,In the Matter of Jerry Smith - A Resident of Fulton County,"This Commission report describes how a 21-year-old mentally retarded resident of Fulton County died as a result of physical abuse by his caretakers when Fulton County's Protective Services for Adults (PSA) was unable to intervene successfully, despite reports of severe and chronic abuse made several weeks earlier. The report noted that two of the assailants were convicted of manslaughter in the first degree and the third of assault in the first degree following the victim's death, which was found to be caused by toxemia due to extensive peritonitis, resulting from a perforation of the small intestine.",
Dec-84,Death Investigations,In the Matter of John Dawson - An Outpatient at the Albany County Mental Health Clinic,"There is an urgent need for mental health and law enforcement agencies statewide to cooperate and develop policies, training and information-sharing procedures to enable police officers to handle crises in the community involving the mentally ill, according to this Commission report. The report chronicles its review of the death of an outpatient of the Albany County Mental Health Clinic who was shot by Albany policy officers during a confrontation in his apartment.",
Dec-90,Death Investigations,In the Matter of Joseph Conway - A Resident of Parkview Home for Adults,"A report on the investigation of an apparent suicide by an adult home resident with mental illness following arrest and incarceration for violating a court order to prevent him from harassing home residents. The bright and articulate resident, who exposed deficiencies and advocated for residents' rights but also harassed residents and provoked staff, had become a target of staff mistreatment. Social services and mental health agencies were criticized for failure to intervene to manage his behavior.",
Feb-87,Death Investigations,In the Matter of Joseph Kirsh - A Resident of Craig Developmental Center,Joseph Kirsh - A Resident of Craig Developmental Center,
Jun-93,Death Investigations,Life and Death at New Queen Esther Home for Adults,"The report illustrates the consequences of inappropriately discharging a psychiatric center inpatient to an adult home ill-equipped to provide the appropriate level of supervision and services. At an adult home with inadequate mental health services, a long history of assaults and acting out behavior by residents, pleas by staff for assistance with problem residents and calls to 911, and 12 years of citations for filthy and unsafe living conditions by the Department of Social Services, a known problem resident assaulted and critically injured another woman resident.",
Apr-87,Policy,Lisa Cohen - The Need for A Policy in the Developmental Disabilities Service System for Reporting Apparent Crimes to Law Enforcement Agencies,"The Commission's review of an incident of sexual abuse of a young mentally retarded woman which went unreported to police after she told staff at the State-operated facility where she lived in Broome County, despite state law requiring reporting of possible crimes.",
Nov-85,Quality of Care,Living Conditions in New York State Psychiatric Centers Revisited: A Report of Follow-up Visits to Nine Psychiatric Centers,"A follow-up review of living conditions at nine State psychiatric centers, (Kingsboro, Bronx, South Beach, Manhattan, Buffalo, Rochester, Middletown, Pilgrim and Binghamton) conducted in February 1985.",
Mar-83,Policy,Managing Resources in the Mental Hygiene System - The Incident Reporting and Review System: More Process Than Is Due,"Calling for a major overhaul of the Incident Reporting and review System at State psychiatric and developmental centers, this Commission report indicated there are ""fundamental flaws"" in the system. The study concluded that the Incident Reporting and review System produces approximately 100,000 reports annually, with multiple layers of internal review at the facility level, and of external review by Regional Offices, Central Offices, boards of visitors, Mental Health Information Service and, occasionally, by the Commission.",
2/1/1983,Quality of Care,Managing Resources in the Mental Hygiene System: A Study of Deployment of Staff to Community Hospitals,"The practices of sending staff to accompany mental disabled patients needing medical treatment at community hospitals are costing the state at least $1.2 million annually, while exacerbating chronic staff shortages and disrupting care and treatment at state mental hygiene facilities, according to this Commission report.",
March 1984 ,Policy,Managing Resources in the Mental Hygiene System: Promoting Equity in the Family of New York - A Review of Outpatient Services for Developmentally Disabled People,"That New York State can substantially increase support services to families of developmentally  disabled children, including those who have ""aged out"" from the educational system, by better management and more effective targeting of the $126 million currently spent on outpatient services in the mental retardation system, was the overall conclusion of a ten-month long study conducted by the Commission at the direction of the State's Legislature.",
Feb-83,Quality of Care,Managing Resources in the Mental Hygiene System: The Evolution of Discrete Mental Retardation Units,"A report on the Discrete Mental Retardation Units (DMRUs), located on the grounds of State psychiatric centers and staffed by developmental centers. Though initially failures at providing appropriate care to persons inappropriately retained at psychiatric centers, over a three-year period DMRUs overcame many of the problems associated with their inauspicious beginnings. While significant progress has been noted at the six downstate locations, the Commission report chronicles three years of monitoring and recommended specific continued action to ensure a uniformly high caliber of care.",
Nov-86,Quality of Care,Medication Practices in New York State Developmental Centers: A Post-Willowbrook Report of Practices at Five Developmental Centers,"After conducting one of the largest studies of the use of psychotropic and anticonvulsant medications in State centers serving the mentally retarded and other developmentally disabled persons, the Commission published this report which cited many improvements  at the centers, while also finding significant deficiencies in monitoring of the use and side effects of such medications.",
Jun-94,Fiscal Invesigation,"Missing Accountability: The Case of Community Living Alternative, Inc.,","The Commission's investigation uncovered diversion of approximately one-quarter of the public funds intended for the care of mentally disabled residents at a 10-bed facility in Queens, New York operated by Community Living Alternative (CLA), a not-for-profit corporation licensed by the New York State Office of Mental Retardation and Developmental Disabilities (OMRDD) to operate community residences. As a result of diversion of over one-half million dollars of the revenues during a five-year period by CLA's executive director and his wife who served as president of a phantom board of directors, residents of the only group home it operated lived in poor conditions without active treatment and recreation, and the home was chronically out-of-compliance with OMRDD regulations.",
Feb-93,Policy,NYS Residential Services for Children with Emotional Problems: A Call for Reform,"The Commission report called for significant structural reforms to serve children with emotional problems and their families more effectively, and to make more efficient use of the over $210 million a year spent by the State Office of Mental Health (OMH) alone on residential services.",
Jul-89,Policy,Outpatient Mental Health Services," Citing total expenditures of over $800 million annually supporting 950 mental health outpatient programs, this Commission report maintains that existing problems in meeting the community service needs of the State's citizens with serious mental illness have less to do with the need for more money than the need to hold existing programs more accountable for providing them with necessary outpatient mental health services. The Commission report identified numerous weaknesses in accountability for mental health outpatient program performance and their cost-effective expenditure of public funds.",
July 1988,Death Investigations,Outpatient Suicide: A Descriptive Study of 172 Outpatient Suicides Reported by New York State Mental Health Programs in 1982,"The Commission report on its study of all 172 outpatient suicides reported for the year 1982 concludes that an increasing rate of reported suicides among psychiatric outpatients in the past several years suggests a need for more extensive, appropriate and effective community services. ",
Dec-90,Policy,Oversight of Transportation Services for Persons with Mental Disabilities,"The Commission's reviews of several deaths of mentally disabled clients in motor vehicle accidents during 1989 and 1990 revealed flaws in the oversight of transportation services among State agencies responsible for ensuring client safety. This Commission report indicates oversight is compromised by confusion over regulatory standards and omissions in monitoring and sharing of information among transportation carriers, resulting in unnecessary risks for people with mental disabilities who regularly rely upon such transportation to community residential and day programs.",
Dec-85,Policy,Patient Abuse and Mistreatment in Psychiatric Centers: A Policy for Reporting Apparent Crimes to and Response by Law Enforcement Agencies,"There is significant noncompliance by State psychiatric centers with a requirement of the Mental Hygiene Law that acts of patient abuse or mistreatment, which may constitute crimes, be reported to appropriate law enforcement agencies, according to this Commission report. The Commission undertook a study of the problems associated with reporting possible crimes in psychiatric centers to law enforcement agencies at the request of the Governor's office following a controversy over the lack of timely reporting of an act of sodomy between two male patients at a psychiatric center.",
Feb-87,Quality of Care,"Patient Living Conditions 1985-86, New York State Psychiatric Centers","This report found that State psychiatric centers are capable of providing quality living conditions for patients, and many do; but many wards in a number of State institutions fail to provide appropriate custodial care. The most significant finding of the Commission was the wide variability in the quality of day-to-day living conditions observed among the State's 25 adult inpatient centers.",
Jul-95,Quality of Care,Patient Safety and Services at Kingsboro Psychiatric Center,"Investigation of conditions at Kingsboro Psychiatric Center prompted by the homicide of a patient in November 1994, allegedly at the hands of another patient who had escaped and returned, armed with a knife. The Commission's investigation found that the escape and homicide reflected lapses in security, search practices, communications and clinical judgement.",
Sep-84,Quality of Care,"Pitfalls in the Community-Based Care System: A Review of the Niagara County Chapter New York State Association for Retarded Children, Inc., and Agencies Responsible for Its Oversight","Widespread mismanagement affecting the health and safety of clients of Niagara County Association for Retarded Children's (NCARC) residences and programs, together with questionable real estate transactions involving several hundred thousands of dollars and a lack of proper monitoring by State agencies were uncovered by the Commission and detailed in this report.",
May 1989,Death Investigations,Preventing Inpatient Suicides: An Analysis of 84 Suicides by Hanging in New York State Psychiatric Facilities (1980-1985),"This study of all suicides by hanging in psychiatric facilities over a 6-year period from 1980-1985 concludes that such suicides are more than three times as likely to occur among psychiatric inpatients than in the general population. In releasing the findings of the study, the Commission urged greater attention to environmental safeguards and special suicide precautions at these facilities.",
Nov-86,Fiscal Invesigation,"Profit Making in Not-for-Profit Care: A Review of the Operations and Financial Practices of Brooklyn Psychosocial Rehabilitation Institute, Inc.","A Commission investigation found that, despite its not-for-profit status, a Brooklyn mental health program was instrumental in generating hundreds of thousands of dollars in profits for its founder and his family through the diversion of public funds intended for patient care. As a result, the quality of patient care was deficient.",
 Oct-1996                                                   ,Fiscal Invesigation,"Profit Making in Not-for-Profit Care: Part III The Case of Queens County Neuropsychiatric Institute, Inc","While conducting a review of freestanding mental health clinics, Commission fiscal staff visited clinics throughout the state to look behind reported cost and productivity figures to gain an understanding of high and low-cost clinic operating practices. With the hope of replicating sound operating practices statewide, the Commission visited QCNI because it appeared to be one of the more efficient clinics licensed by OMH, with 1992 costs per 30-minute individual psychotherapy session at less than one-half of the statewide average, and clinician visits per day almost three times the statewide clinic average. But the Commission's review determined that this seeming efficiency concealed a clinic program rife with serious problems in the quality of its high-volume services, improper billings to Medicaid accounting for almost one-fifth of its Medicaid income, diversion of agency assets to senior executives, failure of the board of directors to exercise its fiduciary responsibilities, and unprofessional conduct by the agency's CPA who helped conceal financial irregularities from the board of directors and OMH.",
Mar-81,Fiscal Invesigation,"Profit vs. Care: A Review of Greenwood Rehabilitation Center, Inc., A Private School for the Mentally Retarded and Related Regulatory Processes"," This Commission report is on a 21-month-long investigation into the financial and program practices of the Greenwood Rehabilitation Center, Inc., a private school for the mentally retarded located near Ellenville, New York (with administrative offices in Hicksville, Long Island), and into the regulation of this school by the Office of Mental Retardation and Developmental Disabilities and the former Department of Mental Hygiene. It is the conclusion of this report, with respect to the Greenwood Rehabilitation Center, public fund in the form of Supplemental Security Income (SSI) payments, intended primarily for the care of the residents, have been diverted, through a variety of means, to the personal and corporate enrichment of the owners, their families and associates--to the detriment of the mentally retarded residents the corporation was ostensibly created to serve.",
Dec-89,Fiscal Invesigation,Profit-Making in Not-for-Profit Corporations: A Challenge to Regulators," An investigation of the operators of one of the State's largest psychiatric clinic programs, which improperly billed the Medicaid program for over a million dollars, paid them grossly inflated salaries and perks, engaged in self-dealing with family-owned realty enterprises through which they received hundreds of thousands of dollars, and made large unauthorized donations of funds to other charities.",
Jul-80,Advocacy,Protecting the Rights of Developmentally Disabled Persons: Establishing a Statewide System of Advocacy Services,This Commission report is on a survey which it was funded by the New York State Advisory Council on Mental Retardation and Developmental Disabilities to conduct a survey of the independent advocacy agencies throughout the State.,
May-89,Policy,Psychiatric Emergency Room Overcrowding: A Case Study,"This report concludes that the staggering demands placed on New York City's chronically overcrowded and understaffed hospital psychiatric emergency rooms (PERs) and ""gridlocked"" inpatient units may have been major factors affecting emergency evaluations, and admission and discharge decisions on a patient who later allegedly killed his parents.",
Aug-83,Policy,Psychotropic Drug Usage: An R x for Improvement - A Study of Selected New York State Psychiatric Centers,"Citing significant deficiencies in controls on psychotropic drugs at six state mental hospitals, this Commission report called for legislative and administrative changes to improve patient care in this report. The Commission characterized the use of psychotherapeutic drugs as ""the primary and predominant mode of treatment and management of the symptoms of mental illness in many, if not most, such facilities.""",
Jul-88,Death Investigations,In the Matter of Ramon Luz - A Patient at Rockland Psychiatric Center,"This case revealed a failure of psychiatric treatment and of supervision in the clinical care of a voluntary patient at a state psychiatric center who was subjected to polypharmacy despite his objections. The death was due to drug intoxication from multiple drug interactions, and facility supervision of his psychiatrist was faulted for failure to detect and address the physician's lack of attempts to determine the cause of his symptoms or to review and modify his treatment plan.",
May-88,Quality of Care,Review of Living Conditions in NYS Developmental Centers,"Two decades after the deplorable conditions at now-closed Willowbrook Developmental Center were exposed, the Commission found basic living conditions for mentally retarded and developmentally disabled residents of developmental centers across the state greatly improved. Yet, this Commission report on a study of living conditions in State developmental centers states that expectations for the overall quality of life inside such institutions have also risen since Willowbrook and that some of these expectations remain unmet.",
Nov-83,Quality of Care,Right at Home: A Review of Upstate Community Residences of the Mentally Disabled,This is a report on the Commission's programmatic and fiscal review of 38 community residential programs serving developmentally disabled persons in upstate New York,
Jan-95,Fiscal Invesigation,Safeguarding Public Funds: A Review of Spending Practices in OMRDD Rate Appeals,"This report is on the State Office of Mental Retardation and Developmental Disabilities' (OMRDD) system for processing appeals of Medicaid rates for community-based programs, which does not adequately safeguard the expenditure of public funds or control costs. The system, which is intended to ensure that Medicaid rates are sufficient to cover the costs of efficiently-run facilities, granted appeal funding of $22 million in 1991, even though in many cases the money was not spent on the purpose for which it was claimed, or not spent at all. The Commission found that OMRDD failed to prevent the funding of excessive agency administrative costs, restrict spending to the purposes of the appeals, or recoup appeal monies that were not spent",
Oct-90,Death Investigations,Serving Medically Frail Individuals: Five Case Studies of Deaths of Residents of the Terence Cardinal Cooke Health Care Center,"A Commission review of five deaths revealed serious deficiencies in the care afforded residents of a large New York City facility specializing in care of developmentally disabled, medically-frail individuals. The Commission also noted the uniquely- challenging needs of this population and made recommendations to ensure provision of quality health services.",
Nov-91,Abuse & Neglect,Sexuality and Developmental Disabilities: An Investigation of Sexual Incidents at Bernard Fineson Developmental Center,This report is on a review of unreported sexual assaults and sexual abuse among mentally retarded adult residents at Bernard Fineson Developmental Center (BFDC) in Queens which prompted the State Office of Mental Retardation and Developmental Disabilities (OMRDD) to issue new guidelines regarding sexual activity among such residents. The investigation by the Commission revealed a breakdown in the facility's supervision of residents and in the handling of serious incidents of sexual assaults and sexual abuse which jeopardized residents' safety.,
Aug-84,Policy,Shelter for Homeless Mentally Ill People: A Review of the Impact of the Queens Men's Shelter on Creedmoor Psychiatric Center's Operations,"Following a study of the Queens Men's Shelter established last fall on the grounds of Creedmoor Psychiatric Center (CPC) the Commission concluded that the shelter has had a minimal impact on patient care or CPC's operations and is a ""reasonable response to the pressing problems that confront New York City and the State."" Nevertheless, the report warned against expanding the shelter into an adjacent building at Creedmoor, stating that such an expansion ""would create an overwhelming burden"" on the participants in the specialized shelter initiative.",
Dec-95,Policy,Shifting Costs to Medicaid: The Case of Financing the OMRDD Comprehensive Case Management Program,"This report addresses the State Office of Mental Retardation and Developmental Disabilities' (OMRDD) implementation of a program for clients residing in the community which was intended to save the state money by shifting costs to Medicaid, which has resulted instead in millions of dollars of unnecessary costs through improper billings to Medicaid and duplicate payments to service providers.",
Apr-90,Advocacy,Special Education in New York State: Parents' Perspective,"The survey is the largest statewide study of the problems encountered by parents in securing the ""free and appropriate"" education guaranteed under law and was conducted under a grant from the State Developmental Disabilities Planning Council. Despite the satisfaction reported by parents, the Commission report states that there is much that needs to be done.",
Feb-90,Death Investigations,Supervision and Care of Seriously Mentally Ill Children: A Case Study,"Citing long-standing problems with the safety, treatment and supervision of residents, this Commission report is of an investigation into a July 4, 1989 homicide of a 15-year-old girl at a residential program serving mentally ill children and youth. The report, regarding the Hawthorne Cedar Knolls (HCK) facility in Westchester County also questioned the effectiveness of existing models of care and treatment for seriously mentally ill children, who require a greater degree of structure and intensive treatment than such programs are designed to provide.",
Aug-81,Policy,The Endless Quest: The Autistic and Their Families,,
Sep-86,Policy,The Multiple Dilemmas of the Multiply Disabled: An Approach to Improving Services for the Mentally Ill Chemical Abuser,"This Commission policy paper reports that a high percentage of severely mentally ill individuals in New York State also abuse alcohol and/or drugs, but do not receive treatment for these additional problems. The critical lack of inpatient and community-based services for mentally ill persons with these multiple disabilities creates an enormous and costly gap, which results in increased psychiatric hospitalization rates and longer lengths of stay for such patients, substantially contributing to overcrowding of psychiatric admission units involuntary, municipal and State hospitals.",
Nov-92,Quality of Care,The Role of Psychotropic Medication in the Treatment of Children in NYS Mental Health Inpatient Settings,"The Commission found that the majority of parents/guardians neither are adequately informed, nor is their permission sought before their children are administered psychiatric drugs in state-operated children's psychiatric facilities. To protect patient rights and involve families in treatment planning, the Commission report strongly recommends to the State Office of Mental Health (OMH) that parents and guardians be given comprehensive information about psychoactive medication, and their written informed consent be obtained by psychiatric facilities before such medication is given to minor children.",
9/1/1994,Policy,Voices From the Frontline: Patients' Perspectives of Restraint and Seclusion Use,"A second report containing the results of the largest survey of former psychiatric patients reported in the literature found that patients who were restrained or secluded during their inpatient stays overwhelmingly report these interventions were used illegally and that they were often poorly treated, abused or injured when restrained or secluded.",
Mar-94,Abuse & Neglect,Watching Over the Children: A Review of 1993 Commission Activities on Behalf of Children with Mental Disabilities,"As required under the State's Mental Hygiene Law, this report covers the Commission's activities during 1993 in overseeing the care and treatment of children in New York State's mental hygiene facilities. As the report indicates, the Commission's role in conducting independent investigations of allegations of child abuse and neglect and of complaints about the quality of care; its systemic examination and comparison of practices among similar facilities; and its advocacy on behalf of children and families, have all contributed to improving the quality of services for children served by residential child care facilities.",
Mar-96,Abuse & Neglect,Watching Over the Children: A Review of 1995 Commission Activities on Behalf of Children with Mental Disabilities,"As required under the State's Mental Hygiene Law, this report covers the Commission's activities during 1995 in overseeing the care and treatment of children in New York State's mental hygiene facilities. As the report indicates, the Commission's role in conducting independent investigations of allegations of child abuse and neglect and of complaints about the quality of care; its systemic examination and comparison of practices among similar facilities; and its advocacy on behalf of children and families, have all contributed to improving the quality of services for children served by residential child care facilities.",
Feb-97,Abuse & Neglect,Watching Over the Children: A Review of 1996 Commission Activities on Behalf of Children with Mental Disabilities,"As required under the State's Mental Hygiene Law, this report covers the Commission's activities during 1996 in overseeing the care and treatment of children in New York State's mental hygiene facilities. As the report indicates, the Commission's role in conducting independent investigations of allegations of child abuse and neglect and of complaints about the quality of care; its systemic examination and comparison of practices among similar facilities; and its advocacy on behalf of children and families, have all contributed to improving the quality of services for children served by residential child care facilities.",
Apr-92,Death Investigations,Wayne Thomas - A Resident of Parkview Home for Adults,"The suicide of an adult home resident occurred against a backdrop of failures by social services and mental health agencies to appropriately plan and coordinate his care after discharge from psychiatric hospitalization, and failure to address the treatment challenges he represented. Social services agencies allowed long-standing deficient conditions to persist at this problem home, including lax security which allowed the deceased to gain access to the roof from which he jumped.",
May-96,Fiscal Invesigation,Why Do Psychiatric Clinics Costs Vary by 1030%: A Review of the Efficiency of Freestanding Clinics,"A study of outpatient mental health clinics operated by voluntary agencies and counties which found wide variations in the costs of clinic services, and identified the factors contributing to the high cost of the state's outpatient services.",
Aug-82,Policy,Willowbrook: From Institution to the Community; A Fiscal and Programmatic Review of Selected Community Residences in New York City,Willowbrook: From Institution to the Community; A Fiscal and Programmatic Review of Selected Community Residences in New York City,
